Date,Technology,Estimated cost of hydrogen production [EUR/kg],Estimated cost of hydrogen production [EUR/MWh]
26/03/2025,SMR without CCS,2.30,67.70
26/03/2025,Minimum RFNBO compliant,6.10,183.80
26/03/2025,Maximum RFNBO compliant,9.20,276.60
27/03/2025,Alcaline,5.10,152.10
27/03/2025,RFNBO compliant,8.20,245.90
27/03/2025,SMR with CCS,2.80,85.50
27/03/2025,SMR without CCS,2.30,68.20
27/03/2025,Minimum RFNBO compliant,5.80,174.50
27/03/2025,Maximum RFNBO compliant,9.60,286.80
28/03/2025,Alcaline,5.00,150.20
28/03/2025,RFNBO compliant,7.80,234.80
28/03/2025,SMR with CCS,2.80,84.10
28/03/2025,SMR without CCS,2.20,67.00
28/03/2025,Minimum RFNBO compliant,6.70,200.90
28/03/2025,Maximum RFNBO compliant,8.60,259.20
31/03/2025,Alcaline,4.90,145.80
31/03/2025,RFNBO compliant,7.10,212.80
31/03/2025,SMR with CCS,2.80,84.30
31/03/2025,SMR without CCS,2.30,67.80
31/03/2025,Minimum RFNBO compliant,5.30,158.60
31/03/2025,Maximum RFNBO compliant,8.30,249.20
01/04/2025,Alcaline,4.50,136.30
01/04/2025,RFNBO compliant,7.30,220.60
01/04/2025,SMR with CCS,2.90,86.80
01/04/2025,SMR without CCS,2.30,70.50
01/04/2025,Minimum RFNBO compliant,5.70,170.90
01/04/2025,Maximum RFNBO compliant,9.00,269.40
02/04/2025,Alcaline,4.50,134.90
02/04/2025,RFNBO compliant,7.50,225.90
02/04/2025,SMR with CCS,2.80,84.60
02/04/2025,SMR without CCS,2.30,68.60
02/04/2025,Minimum RFNBO compliant,6.00,178.70
02/04/2025,Maximum RFNBO compliant,8.90,266.70
03/04/2025,Alcaline,4.20,125.70
03/04/2025,RFNBO compliant,6.10,184.50
03/04/2025,SMR with CCS,2.70,81.70
03/04/2025,SMR without CCS,2.20,66.30
03/04/2025,Minimum RFNBO compliant,5.00,150.20
03/04/2025,Maximum RFNBO compliant,7.30,217.70
04/04/2025,Alcaline,4.10,123.30
04/04/2025,RFNBO compliant,6.70,201.90
04/04/2025,SMR with CCS,2.60,77.10
04/04/2025,SMR without CCS,2.10,62.20
04/04/2025,Minimum RFNBO compliant,5.10,153.20
04/04/2025,Maximum RFNBO compliant,8.00,241.10
07/04/2025,Alcaline,4.00,118.90
07/04/2025,RFNBO compliant,6.70,202.20
07/04/2025,SMR with CCS,2.50,75.90
07/04/2025,SMR without CCS,2.00,61.40
07/04/2025,Minimum RFNBO compliant,4.60,136.60
07/04/2025,Maximum RFNBO compliant,8.50,256.50
08/04/2025,Alcaline,3.90,118.40
08/04/2025,RFNBO compliant,7.70,231.80
08/04/2025,SMR with CCS,2.50,76.20
08/04/2025,SMR without CCS,2.10,61.60
08/04/2025,Minimum RFNBO compliant,6.60,199.10
08/04/2025,Maximum RFNBO compliant,8.90,266.10
09/04/2025,Alcaline,3.90,116.70
09/04/2025,RFNBO compliant,7.70,229.90
09/04/2025,SMR with CCS,2.40,72.60
09/04/2025,SMR without CCS,1.90,58.50
09/04/2025,Minimum RFNBO compliant,6.60,197.60
09/04/2025,Maximum RFNBO compliant,9.10,272.70
10/04/2025,Alcaline,3.90,115.90
10/04/2025,RFNBO compliant,7.00,209.00
10/04/2025,SMR with CCS,2.40,71.90
10/04/2025,SMR without CCS,1.90,57.90
10/04/2025,Minimum RFNBO compliant,5.60,167.30
10/04/2025,Maximum RFNBO compliant,8.50,254.40
11/04/2025,Alcaline,4.00,120.00
11/04/2025,RFNBO compliant,6.60,199.50
11/04/2025,SMR with CCS,2.40,72.00
11/04/2025,SMR without CCS,1.90,57.80
11/04/2025,Minimum RFNBO compliant,5.00,150.80
11/04/2025,Maximum RFNBO compliant,8.30,248.60
14/04/2025,Alcaline,4.20,126.20
14/04/2025,RFNBO compliant,6.50,195.20
14/04/2025,SMR with CCS,2.50,74.20
14/04/2025,SMR without CCS,2.00,59.50
14/04/2025,Minimum RFNBO compliant,5.00,150.20
14/04/2025,Maximum RFNBO compliant,7.80,233.30
15/04/2025,Alcaline,4.20,126.00
15/04/2025,RFNBO compliant,7.10,214.40
15/04/2025,SMR with CCS,2.50,73.60
15/04/2025,SMR without CCS,2.00,59.00
15/04/2025,Minimum RFNBO compliant,5.30,159.80
15/04/2025,Maximum RFNBO compliant,8.90,266.40
16/04/2025,Alcaline,4.30,129.30
16/04/2025,RFNBO compliant,6.20,185.60
16/04/2025,SMR with CCS,2.50,75.70
16/04/2025,SMR without CCS,2.00,60.80
16/04/2025,Minimum RFNBO compliant,4.60,136.60
16/04/2025,Maximum RFNBO compliant,7.60,227.00
17/04/2025,Alcaline,4.30,129.70
17/04/2025,RFNBO compliant,7.00,209.00
17/04/2025,SMR with CCS,2.50,75.70
17/04/2025,SMR without CCS,2.00,60.80
17/04/2025,Minimum RFNBO compliant,4.40,133.30
17/04/2025,Maximum RFNBO compliant,8.60,259.20
22/04/2025,Alcaline,4.10,123.80
22/04/2025,RFNBO compliant,7.40,222.00
22/04/2025,SMR with CCS,2.40,73.00
22/04/2025,SMR without CCS,2.00,58.60
22/04/2025,Minimum RFNBO compliant,5.10,152.60
22/04/2025,Maximum RFNBO compliant,9.00,270.00
23/04/2025,Alcaline,4.30,129.80
23/04/2025,RFNBO compliant,8.30,249.80
23/04/2025,SMR with CCS,2.50,73.60
23/04/2025,SMR without CCS,2.00,58.90
23/04/2025,Minimum RFNBO compliant,7.20,215.30
23/04/2025,Maximum RFNBO compliant,9.70,290.40
24/04/2025,Alcaline,4.30,128.00
24/04/2025,RFNBO compliant,7.90,235.90
24/04/2025,SMR with CCS,2.40,72.70
24/04/2025,SMR without CCS,1.90,58.20
24/04/2025,Minimum RFNBO compliant,6.20,187.40
24/04/2025,Maximum RFNBO compliant,9.40,281.70
25/04/2025,Alcaline,4.20,125.20
25/04/2025,RFNBO compliant,7.70,232.60
25/04/2025,SMR with CCS,2.30,70.40
25/04/2025,SMR without CCS,1.90,56.20
25/04/2025,Minimum RFNBO compliant,6.30,188.00
25/04/2025,Maximum RFNBO compliant,9.00,269.10
28/04/2025,Alcaline,4.00,121.30
28/04/2025,RFNBO compliant,7.60,227.80
28/04/2025,SMR with CCS,2.30,69.90
28/04/2025,SMR without CCS,1.90,55.90
28/04/2025,Minimum RFNBO compliant,6.40,192.50
28/04/2025,Maximum RFNBO compliant,8.90,265.80
29/04/2025,Alcaline,4.10,122.80
29/04/2025,RFNBO compliant,6.80,205.50
29/04/2025,SMR with CCS,2.30,69.90
29/04/2025,SMR without CCS,1.90,55.80
29/04/2025,Minimum RFNBO compliant,5.40,160.70
29/04/2025,Maximum RFNBO compliant,8.10,242.60
30/04/2025,Alcaline,4.10,123.30
30/04/2025,RFNBO compliant,6.40,191.70
30/04/2025,SMR with CCS,2.30,70.30
30/04/2025,SMR without CCS,1.90,56.20
30/04/2025,Minimum RFNBO compliant,4.70,141.40
30/04/2025,Maximum RFNBO compliant,8.00,240.20
01/05/2025,Alcaline,4.40,131.10
01/05/2025,RFNBO compliant,6.90,206.20
01/05/2025,SMR with CCS,2.30,70.50
01/05/2025,SMR without CCS,1.90,56.00
01/05/2025,Minimum RFNBO compliant,5.60,167.30
01/05/2025,Maximum RFNBO compliant,8.10,242.60
02/05/2025,Alcaline,4.60,137.20
02/05/2025,RFNBO compliant,5.90,175.90
02/05/2025,SMR with CCS,2.40,72.40
02/05/2025,SMR without CCS,1.90,57.40
02/05/2025,Minimum RFNBO compliant,4.70,140.20
02/05/2025,Maximum RFNBO compliant,7.00,211.40
06/05/2025,Alcaline,4.60,139.10
06/05/2025,RFNBO compliant,6.20,187.20
06/05/2025,SMR with CCS,2.50,75.00
06/05/2025,SMR without CCS,2.00,59.80
06/05/2025,Minimum RFNBO compliant,4.80,142.90
06/05/2025,Maximum RFNBO compliant,7.50,225.50
07/05/2025,Alcaline,4.70,140.60
07/05/2025,RFNBO compliant,6.50,194.30
07/05/2025,SMR with CCS,2.50,74.30
07/05/2025,SMR without CCS,2.00,59.00
07/05/2025,Minimum RFNBO compliant,4.70,139.60
07/05/2025,Maximum RFNBO compliant,8.30,249.80
08/05/2025,Alcaline,4.60,139.30
08/05/2025,RFNBO compliant,6.90,208.60
08/05/2025,SMR with CCS,2.50,76.20
08/05/2025,SMR without CCS,2.00,60.80
08/05/2025,Minimum RFNBO compliant,5.10,153.80
08/05/2025,Maximum RFNBO compliant,8.90,268.50
09/05/2025,Alcaline,4.50,135.90
09/05/2025,RFNBO compliant,7.00,209.20
09/05/2025,SMR with CCS,2.50,74.80
09/05/2025,SMR without CCS,2.00,59.60
09/05/2025,Minimum RFNBO compliant,4.80,143.50
09/05/2025,Maximum RFNBO compliant,9.20,275.40
12/05/2025,Alcaline,4.80,144.20
12/05/2025,RFNBO compliant,6.70,200.90
12/05/2025,SMR with CCS,2.50,76.30
12/05/2025,SMR without CCS,2.00,60.70
12/05/2025,Minimum RFNBO compliant,4.90,147.40
12/05/2025,Maximum RFNBO compliant,8.60,258.00
13/05/2025,Alcaline,4.80,143.30
13/05/2025,RFNBO compliant,6.40,192.20
13/05/2025,SMR with CCS,2.60,76.70
13/05/2025,SMR without CCS,2.00,61.00
13/05/2025,Minimum RFNBO compliant,5.40,162.50
13/05/2025,Maximum RFNBO compliant,7.40,220.70
14/05/2025,Alcaline,4.70,141.70
14/05/2025,RFNBO compliant,7.10,213.60
14/05/2025,SMR with CCS,2.50,75.50
14/05/2025,SMR without CCS,2.00,60.00
14/05/2025,Minimum RFNBO compliant,6.20,187.40
14/05/2025,Maximum RFNBO compliant,8.00,241.10
15/05/2025,Alcaline,4.80,144.90
15/05/2025,RFNBO compliant,6.60,198.70
15/05/2025,SMR with CCS,2.50,76.30
15/05/2025,SMR without CCS,2.00,60.60
15/05/2025,Minimum RFNBO compliant,5.70,169.70
15/05/2025,Maximum RFNBO compliant,7.50,226.40
16/05/2025,Alcaline,4.70,140.90
16/05/2025,RFNBO compliant,6.10,182.50
16/05/2025,SMR with CCS,2.50,75.90
16/05/2025,SMR without CCS,2.00,60.40
16/05/2025,Minimum RFNBO compliant,4.80,143.20
16/05/2025,Maximum RFNBO compliant,7.40,222.80
19/05/2025,Alcaline,4.60,138.50
19/05/2025,RFNBO compliant,6.10,183.20
19/05/2025,SMR with CCS,2.50,75.70
19/05/2025,SMR without CCS,2.00,60.40
19/05/2025,Minimum RFNBO compliant,4.40,131.80
19/05/2025,Maximum RFNBO compliant,7.70,232.40
20/05/2025,Alcaline,4.80,144.80
20/05/2025,RFNBO compliant,6.80,204.80
20/05/2025,SMR with CCS,2.60,79.10
20/05/2025,SMR without CCS,2.10,63.20
20/05/2025,Minimum RFNBO compliant,4.80,144.40
20/05/2025,Maximum RFNBO compliant,8.80,265.50
21/05/2025,Alcaline,4.90,146.30
21/05/2025,RFNBO compliant,6.70,199.70
21/05/2025,SMR with CCS,2.60,78.30
21/05/2025,SMR without CCS,2.10,62.40
21/05/2025,Minimum RFNBO compliant,4.80,145.00
21/05/2025,Maximum RFNBO compliant,8.30,249.80
22/05/2025,Alcaline,4.70,141.50
22/05/2025,RFNBO compliant,6.50,195.30
22/05/2025,SMR with CCS,2.60,77.40
22/05/2025,SMR without CCS,2.10,61.80
22/05/2025,Minimum RFNBO compliant,5.20,155.30
22/05/2025,Maximum RFNBO compliant,7.70,231.20
23/05/2025,Alcaline,4.70,140.90
23/05/2025,RFNBO compliant,5.90,178.50
23/05/2025,SMR with CCS,2.60,77.80
23/05/2025,SMR without CCS,2.10,62.20
23/05/2025,Minimum RFNBO compliant,4.20,125.50
23/05/2025,Maximum RFNBO compliant,7.30,219.80
27/05/2025,Alcaline,4.60,139.50
27/05/2025,RFNBO compliant,6.20,186.60
27/05/2025,SMR with CCS,2.60,77.80
27/05/2025,SMR without CCS,2.10,62.30
27/05/2025,Minimum RFNBO compliant,4.30,127.90
27/05/2025,Maximum RFNBO compliant,7.90,237.50
28/05/2025,Alcaline,4.60,136.70
28/05/2025,RFNBO compliant,6.20,186.50
28/05/2025,SMR with CCS,2.60,77.60
28/05/2025,SMR without CCS,2.10,62.20
28/05/2025,Minimum RFNBO compliant,5.10,152.60
28/05/2025,Maximum RFNBO compliant,7.40,221.00
29/05/2025,Alcaline,4.50,134.20
29/05/2025,RFNBO compliant,6.70,202.60
29/05/2025,SMR with CCS,2.50,75.20
29/05/2025,SMR without CCS,2.00,60.10
29/05/2025,Minimum RFNBO compliant,5.00,149.20
29/05/2025,Maximum RFNBO compliant,8.40,252.60
30/05/2025,Alcaline,4.40,131.90
30/05/2025,RFNBO compliant,6.40,193.30
30/05/2025,SMR with CCS,2.40,73.30
30/05/2025,SMR without CCS,1.90,58.50
30/05/2025,Minimum RFNBO compliant,5.60,166.70
30/05/2025,Maximum RFNBO compliant,7.20,215.00
02/06/2025,Alcaline,4.80,143.60
02/06/2025,RFNBO compliant,6.40,192.50
02/06/2025,SMR with CCS,2.50,75.60
02/06/2025,SMR without CCS,2.00,60.10
02/06/2025,Minimum RFNBO compliant,5.90,178.40
02/06/2025,Maximum RFNBO compliant,6.80,203.60
03/06/2025,Alcaline,4.80,144.10
03/06/2025,RFNBO compliant,7.00,210.20
03/06/2025,SMR with CCS,2.60,76.80
03/06/2025,SMR without CCS,2.00,61.20
03/06/2025,Minimum RFNBO compliant,5.50,165.20
03/06/2025,Maximum RFNBO compliant,8.40,252.90
04/06/2025,Alcaline,4.80,144.80
04/06/2025,RFNBO compliant,6.60,198.40
04/06/2025,SMR with CCS,2.50,76.30
04/06/2025,SMR without CCS,2.00,60.70
04/06/2025,Minimum RFNBO compliant,5.10,152.00
04/06/2025,Maximum RFNBO compliant,7.50,225.20
05/06/2025,Alcaline,4.90,146.40
05/06/2025,RFNBO compliant,7.00,211.50
05/06/2025,SMR with CCS,2.60,77.90
05/06/2025,SMR without CCS,2.10,62.10
05/06/2025,Minimum RFNBO compliant,5.30,159.20
05/06/2025,Maximum RFNBO compliant,8.10,244.10
06/06/2025,Alcaline,4.90,146.50
06/06/2025,RFNBO compliant,6.80,205.00
06/06/2025,SMR with CCS,2.60,77.80
06/06/2025,SMR without CCS,2.10,62.00
06/06/2025,Minimum RFNBO compliant,4.50,136.30
06/06/2025,Maximum RFNBO compliant,8.00,240.20
09/06/2025,Alcaline,4.90,147.90
09/06/2025,RFNBO compliant,6.50,196.20
09/06/2025,SMR with CCS,2.60,76.80
09/06/2025,SMR without CCS,2.00,61.00
09/06/2025,Minimum RFNBO compliant,5.20,155.90
09/06/2025,Maximum RFNBO compliant,7.60,227.00
10/06/2025,Alcaline,4.90,145.70
10/06/2025,RFNBO compliant,6.40,190.80
10/06/2025,SMR with CCS,2.50,75.40
10/06/2025,SMR without CCS,2.00,59.80
10/06/2025,Minimum RFNBO compliant,5.00,151.40
10/06/2025,Maximum RFNBO compliant,7.10,213.20
11/06/2025,Alcaline,4.90,147.60
11/06/2025,RFNBO compliant,7.00,211.00
11/06/2025,SMR with CCS,2.60,77.00
11/06/2025,SMR without CCS,2.00,61.20
11/06/2025,Minimum RFNBO compliant,5.30,158.90
11/06/2025,Maximum RFNBO compliant,8.90,268.50
12/06/2025,Alcaline,4.80,145.10
12/06/2025,RFNBO compliant,7.20,215.10
12/06/2025,SMR with CCS,2.60,77.50
12/06/2025,SMR without CCS,2.10,61.80
12/06/2025,Minimum RFNBO compliant,5.40,161.00
12/06/2025,Maximum RFNBO compliant,8.00,239.30
13/06/2025,Alcaline,5.00,149.80
13/06/2025,RFNBO compliant,6.70,200.20
13/06/2025,SMR with CCS,2.70,79.70
13/06/2025,SMR without CCS,2.10,63.60
13/06/2025,Minimum RFNBO compliant,5.30,160.40
13/06/2025,Maximum RFNBO compliant,7.10,213.80
16/06/2025,Alcaline,5.00,149.60
16/06/2025,RFNBO compliant,7.00,209.80
16/06/2025,SMR with CCS,2.70,79.90
16/06/2025,SMR without CCS,2.10,63.70
16/06/2025,Minimum RFNBO compliant,6.10,184.40
16/06/2025,Maximum RFNBO compliant,7.70,231.50
17/06/2025,Alcaline,5.10,152.20
17/06/2025,RFNBO compliant,7.10,212.80
17/06/2025,SMR with CCS,2.70,82.10
17/06/2025,SMR without CCS,2.20,65.60
17/06/2025,Minimum RFNBO compliant,5.50,165.20
17/06/2025,Maximum RFNBO compliant,8.20,246.80
18/06/2025,Alcaline,5.00,150.20
18/06/2025,RFNBO compliant,7.70,232.00
18/06/2025,SMR with CCS,2.70,81.10
18/06/2025,SMR without CCS,2.20,64.80
18/06/2025,Minimum RFNBO compliant,6.00,179.60
18/06/2025,Maximum RFNBO compliant,8.50,256.50
19/06/2025,Alcaline,5.20,156.80
19/06/2025,RFNBO compliant,8.00,239.90
19/06/2025,SMR with CCS,2.90,85.90
19/06/2025,SMR without CCS,2.30,68.90
19/06/2025,Minimum RFNBO compliant,6.60,197.90
19/06/2025,Maximum RFNBO compliant,9.20,276.90
20/06/2025,Alcaline,5.10,152.70
20/06/2025,RFNBO compliant,7.60,228.30
20/06/2025,SMR with CCS,2.80,84.40
20/06/2025,SMR without CCS,2.30,67.70
20/06/2025,Minimum RFNBO compliant,5.90,177.50
20/06/2025,Maximum RFNBO compliant,9.70,290.70
23/06/2025,Alcaline,5.10,152.60
23/06/2025,RFNBO compliant,8.20,247.20
23/06/2025,SMR with CCS,2.80,83.60
23/06/2025,SMR without CCS,2.20,67.00
23/06/2025,Minimum RFNBO compliant,6.70,202.40
23/06/2025,Maximum RFNBO compliant,9.50,284.70
24/06/2025,Alcaline,4.90,146.60
24/06/2025,RFNBO compliant,6.90,205.90
24/06/2025,SMR with CCS,2.50,76.20
24/06/2025,SMR without CCS,2.00,60.60
24/06/2025,Minimum RFNBO compliant,5.20,156.80
24/06/2025,Maximum RFNBO compliant,9.30,279.90
25/06/2025,Alcaline,5.00,148.80
25/06/2025,RFNBO compliant,7.20,215.10
25/06/2025,SMR with CCS,2.50,76.10
25/06/2025,SMR without CCS,2.00,60.40
25/06/2025,Minimum RFNBO compliant,6.40,191.90
25/06/2025,Maximum RFNBO compliant,8.60,259.50
26/06/2025,Alcaline,4.80,145.10
26/06/2025,RFNBO compliant,7.90,238.00
26/06/2025,SMR with CCS,2.40,73.40
26/06/2025,SMR without CCS,1.90,58.10
26/06/2025,Minimum RFNBO compliant,7.10,214.40
26/06/2025,Maximum RFNBO compliant,8.70,260.10
27/06/2025,Alcaline,4.80,144.30
27/06/2025,RFNBO compliant,8.10,242.80
27/06/2025,SMR with CCS,2.40,72.20
27/06/2025,SMR without CCS,1.90,57.00
27/06/2025,Minimum RFNBO compliant,7.10,214.10
27/06/2025,Maximum RFNBO compliant,8.40,253.50
30/06/2025,Alcaline,4.90,147.80
30/06/2025,RFNBO compliant,8.00,239.30
30/06/2025,SMR with CCS,2.40,71.80
30/06/2025,SMR without CCS,1.90,56.60
30/06/2025,Minimum RFNBO compliant,7.30,219.50
30/06/2025,Maximum RFNBO compliant,8.50,256.50
01/07/2025,Alcaline,4.90,148.30
01/07/2025,RFNBO compliant,8.70,262.50
01/07/2025,SMR with CCS,2.40,73.50
01/07/2025,SMR without CCS,1.90,58.10
01/07/2025,Minimum RFNBO compliant,7.90,236.60
01/07/2025,Maximum RFNBO compliant,9.40,282.30
02/07/2025,Alcaline,5.00,150.50
02/07/2025,RFNBO compliant,9.60,288.60
02/07/2025,SMR with CCS,2.40,73.20
02/07/2025,SMR without CCS,1.90,57.70
02/07/2025,Minimum RFNBO compliant,8.50,256.50
02/07/2025,Maximum RFNBO compliant,10.40,311.40
03/07/2025,Alcaline,5.00,149.30
03/07/2025,RFNBO compliant,8.60,257.60
03/07/2025,SMR with CCS,2.40,73.50
03/07/2025,SMR without CCS,1.90,58.00
03/07/2025,Minimum RFNBO compliant,7.60,228.80
03/07/2025,Maximum RFNBO compliant,9.20,275.10
04/07/2025,Alcaline,5.00,149.20
04/07/2025,RFNBO compliant,8.00,239.30
04/07/2025,SMR with CCS,2.40,73.00
04/07/2025,SMR without CCS,1.90,57.60
04/07/2025,Minimum RFNBO compliant,7.20,215.60
04/07/2025,Maximum RFNBO compliant,8.30,248.90
07/07/2025,Alcaline,5.00,150.70
07/07/2025,RFNBO compliant,7.80,234.20
07/07/2025,SMR with CCS,2.50,73.70
07/07/2025,SMR without CCS,1.90,58.20
07/07/2025,Minimum RFNBO compliant,6.80,205.40
07/07/2025,Maximum RFNBO compliant,8.70,260.40
08/07/2025,Alcaline,5.10,152.20
08/07/2025,RFNBO compliant,7.30,220.00
08/07/2025,SMR with CCS,2.50,74.90
08/07/2025,SMR without CCS,2.00,59.10
08/07/2025,Minimum RFNBO compliant,5.60,166.70
08/07/2025,Maximum RFNBO compliant,8.70,262.50
09/07/2025,Alcaline,5.10,151.90
09/07/2025,RFNBO compliant,7.00,211.30
09/07/2025,SMR with CCS,2.50,75.20
09/07/2025,SMR without CCS,2.00,59.40
09/07/2025,Minimum RFNBO compliant,5.60,167.00
09/07/2025,Maximum RFNBO compliant,8.30,249.80
10/07/2025,Alcaline,5.20,155.00
10/07/2025,RFNBO compliant,7.90,237.90
10/07/2025,SMR with CCS,2.50,76.00
10/07/2025,SMR without CCS,2.00,60.10
10/07/2025,Minimum RFNBO compliant,5.90,178.10
10/07/2025,Maximum RFNBO compliant,8.80,262.80
11/07/2025,Alcaline,5.00,151.00
11/07/2025,RFNBO compliant,8.30,248.30
11/07/2025,SMR with CCS,2.50,76.60
11/07/2025,SMR without CCS,2.00,60.70
11/07/2025,Minimum RFNBO compliant,6.70,199.70
11/07/2025,Maximum RFNBO compliant,9.30,278.40
14/07/2025,Alcaline,5.10,153.30
14/07/2025,RFNBO compliant,8.00,238.90
14/07/2025,SMR with CCS,2.50,75.90
14/07/2025,SMR without CCS,2.00,60.00
14/07/2025,Minimum RFNBO compliant,6.10,183.20
14/07/2025,Maximum RFNBO compliant,8.80,263.70
15/07/2025,Alcaline,5.10,151.80
15/07/2025,RFNBO compliant,8.00,239.50
15/07/2025,SMR with CCS,2.50,75.10
15/07/2025,SMR without CCS,2.00,59.30
15/07/2025,Minimum RFNBO compliant,6.20,184.70
15/07/2025,Maximum RFNBO compliant,9.10,273.30
16/07/2025,Alcaline,5.10,152.20
16/07/2025,RFNBO compliant,7.70,231.60
16/07/2025,SMR with CCS,2.50,75.40
16/07/2025,SMR without CCS,2.00,59.60
16/07/2025,Minimum RFNBO compliant,6.30,190.10
16/07/2025,Maximum RFNBO compliant,8.60,258.60
17/07/2025,Alcaline,5.10,153.80
17/07/2025,RFNBO compliant,8.20,245.70
17/07/2025,SMR with CCS,2.50,75.20
17/07/2025,SMR without CCS,2.00,59.40
17/07/2025,Minimum RFNBO compliant,6.50,194.60
17/07/2025,Maximum RFNBO compliant,9.00,268.80
18/07/2025,Alcaline,5.10,153.00
18/07/2025,RFNBO compliant,8.40,253.20
18/07/2025,SMR with CCS,2.50,73.70
18/07/2025,SMR without CCS,1.90,58.00
18/07/2025,Minimum RFNBO compliant,7.60,229.40
18/07/2025,Maximum RFNBO compliant,9.00,270.30
21/07/2025,Alcaline,5.00,151.40
21/07/2025,RFNBO compliant,8.50,256.60
21/07/2025,SMR with CCS,2.40,73.20
21/07/2025,SMR without CCS,1.90,57.70
21/07/2025,Minimum RFNBO compliant,7.70,231.80
21/07/2025,Maximum RFNBO compliant,9.20,275.40
22/07/2025,Alcaline,5.10,151.70
22/07/2025,RFNBO compliant,7.40,220.90
22/07/2025,SMR with CCS,2.40,73.20
22/07/2025,SMR without CCS,1.90,57.70
22/07/2025,Minimum RFNBO compliant,4.90,146.50
22/07/2025,Maximum RFNBO compliant,9.20,276.30
23/07/2025,Alcaline,5.00,150.70
23/07/2025,RFNBO compliant,7.60,228.80
23/07/2025,SMR with CCS,2.40,72.50
23/07/2025,SMR without CCS,1.90,57.10
23/07/2025,Minimum RFNBO compliant,6.40,191.60
23/07/2025,Maximum RFNBO compliant,8.20,244.70
24/07/2025,Alcaline,5.00,150.40
24/07/2025,RFNBO compliant,7.90,238.40
24/07/2025,SMR with CCS,2.40,71.70
24/07/2025,SMR without CCS,1.90,56.30
24/07/2025,Minimum RFNBO compliant,7.60,228.20
24/07/2025,Maximum RFNBO compliant,8.20,247.10
25/07/2025,Alcaline,5.10,151.80
25/07/2025,RFNBO compliant,7.70,232.70
25/07/2025,SMR with CCS,2.40,71.80
25/07/2025,SMR without CCS,1.90,56.40
25/07/2025,Minimum RFNBO compliant,6.00,181.10
25/07/2025,Maximum RFNBO compliant,9.20,276.60
28/07/2025,Alcaline,5.10,153.60
28/07/2025,RFNBO compliant,7.60,228.20
28/07/2025,SMR with CCS,2.40,73.10
28/07/2025,SMR without CCS,1.90,57.40
28/07/2025,Minimum RFNBO compliant,5.90,176.60
28/07/2025,Maximum RFNBO compliant,9.00,268.80
29/07/2025,Alcaline,5.20,155.70
29/07/2025,RFNBO compliant,7.10,212.20
29/07/2025,SMR with CCS,2.50,74.90
29/07/2025,SMR without CCS,2.00,58.90
29/07/2025,Minimum RFNBO compliant,5.50,164.00
29/07/2025,Maximum RFNBO compliant,8.70,260.70
30/07/2025,Alcaline,5.20,155.60
30/07/2025,RFNBO compliant,6.70,201.70
30/07/2025,SMR with CCS,2.50,75.30
30/07/2025,SMR without CCS,2.00,59.40
30/07/2025,Minimum RFNBO compliant,5.40,161.90
30/07/2025,Maximum RFNBO compliant,7.90,237.80
31/07/2025,Alcaline,5.20,154.70
31/07/2025,RFNBO compliant,6.80,205.40
31/07/2025,SMR with CCS,2.50,75.70
31/07/2025,SMR without CCS,2.00,59.70
31/07/2025,Minimum RFNBO compliant,5.80,174.50
31/07/2025,Maximum RFNBO compliant,7.80,233.60
01/08/2025,Alcaline,5.40,162.20
01/08/2025,RFNBO compliant,7.50,225.30
01/08/2025,SMR with CCS,2.50,74.90
01/08/2025,SMR without CCS,2.00,58.60
01/08/2025,Minimum RFNBO compliant,6.70,200.00
01/08/2025,Maximum RFNBO compliant,8.20,247.10
04/08/2025,Alcaline,5.90,175.80
04/08/2025,RFNBO compliant,7.70,230.60
04/08/2025,SMR with CCS,2.50,76.10
04/08/2025,SMR without CCS,2.00,59.20
04/08/2025,Minimum RFNBO compliant,6.70,201.50
04/08/2025,Maximum RFNBO compliant,8.80,263.10
05/08/2025,Alcaline,5.90,176.70
05/08/2025,RFNBO compliant,7.00,208.90
05/08/2025,SMR with CCS,2.50,76.50
05/08/2025,SMR without CCS,2.00,59.50
05/08/2025,Minimum RFNBO compliant,6.00,179.00
05/08/2025,Maximum RFNBO compliant,7.30,220.10
06/08/2025,Alcaline,5.80,174.90
06/08/2025,RFNBO compliant,5.90,177.30
06/08/2025,SMR with CCS,2.50,74.60
06/08/2025,SMR without CCS,1.90,57.90
06/08/2025,Minimum RFNBO compliant,4.80,145.00
06/08/2025,Maximum RFNBO compliant,6.60,198.50
07/08/2025,Alcaline,5.80,173.60
07/08/2025,RFNBO compliant,7.20,215.80
07/08/2025,SMR with CCS,2.50,74.30
07/08/2025,SMR without CCS,1.90,57.70
07/08/2025,Minimum RFNBO compliant,6.30,189.80
07/08/2025,Maximum RFNBO compliant,7.80,235.40
08/08/2025,Alcaline,5.80,175.30
08/08/2025,RFNBO compliant,7.40,223.50
08/08/2025,SMR with CCS,2.40,73.20
08/08/2025,SMR without CCS,1.90,56.60
08/08/2025,Minimum RFNBO compliant,6.40,191.30
08/08/2025,Maximum RFNBO compliant,8.20,245.30
11/08/2025,Alcaline,5.80,173.10
11/08/2025,RFNBO compliant,7.50,225.00
11/08/2025,SMR with CCS,2.50,74.30
11/08/2025,SMR without CCS,1.90,57.70
11/08/2025,Minimum RFNBO compliant,6.40,191.90
11/08/2025,Maximum RFNBO compliant,8.00,241.40
12/08/2025,Alcaline,5.70,170.50
12/08/2025,RFNBO compliant,7.60,229.70
